34,3635,2527,3068,2208,3534.
3927,3994,2203,3493,2349,2995,2798,2890.
3683,2963,4006,3272,3961,3195,3333,2493.
2484,2364,2828,3089,2429,2325,2526,3884.
3555,2177,3534,2740,3280,3971,2794,3758.
3985,2489,2469,2590,3273,2827,3638,3946.
2524,2897,3577,2948,3549,2202,3513,2189.
3750,3647,2749,3317,3088,2659,2229,3849.
2260,3641,3669,2953,2609,3420,2509,4072.
2733,2667,2679,3000,2291,2226,2346,3845.
3080,3936,3053,3831,3416,3772,2939,2075.
3727,4084,2781,2856,2114,2009,4052,2552.
3628,3548,3340,2807,2460,2078,2994,2160.
2061,3115,3226,2403,2057,2003,3336,2743.
3352,2816,3340,3274,2456,3869,2695,2075.
2178,3869,3189,4074,3417,3682,2120,3904.
525,575,606,598,922,370,134,471.
545,850,30,349,349,452,259,151.
128,33,712,284,88,683,807,894.
590,696,760,878,112,762,446,161.
968,966,698,831,931,707,833,622.
124,162,250,708,726,594,432,719.
848,189,367,818,709,685,65,899.
148,37,668,258,267,198,265,160.
675,479,687,853,633,728,496,78.
590,375,394,759,149,666,618,911.
L)71,695,151,116,513,948.
918,170,590,543,177,900,109,491.
Ws	bʢbbbbbrj
878,267,852,560,432,24,404,713.
812,274,410,132,299,409,831,867.
2,634,352,297,427,950,929,117.
214,837,617,252,239,814,301,16.
740,924,52,654,882,389,807,338.
12,958,617,565,287,956,893,194.
120,208,29,619,372,557,734,639.
565,122,892,899,852,311,967,516.
847,760,698,773,596,998,471,761.
621,596,602,723,347,726,480,156.
705,189,203,944,329,640,647,952.
599,515,190,627,347,237,257,472.
355,804,657,694,631,781,847,669.
822,376,784,914,683,661,55,611.
629,683,534,251,25,867,556,486.
506,418,431,747,418,633,806,143.
871,147,79,192,91,669,316,635.
784,828,359,796,979,994,747,45.
430,772,190,260,829,55,614,731.
502,995,833,416,507,910,624,518.
284,890,840,199,828,412,949,283.
192,771,370,826,491,695,278,753.
598,880,896,932,553,983,67,870.
